sync,label,dirtyChunks,liveChunks,shape,restoreRequests,restoreBytes,storageBytes,uploadRequestsCumulative
35,"work 32: rewrite part of f5",4,317,delta-pack,37,180882120,180882120,140
36,"work 33: edit with vim",6,317,delta-pack,38,182455008,182455008,144
37,"work 34: delete f19, create g34",11,317,delta-pack,39,185338636,185338636,148
38,"work 35: package churn",11,317,delta-pack,40,188222264,188222264,152
39,"work 36: append to log",4,317,delta-pack,41,189270856,189270856,156
40,"work 37: rewrite part of f20",4,317,delta-pack,42,190319448,190319448,160
41,"work 38: edit with vim",6,317,delta-pack,43,191892336,191892336,164
42,"work 39: delete f14, create g39",12,317,delta-pack,44,195038112,195038112,168
43,"work 40: package churn",12,318,delta-pack,45,198183888,198183888,172
1,"format and mount",64,64,chunk-exploded,67,16785159,1580807,10
2,"unpack alpine",67,95,chunk-exploded,98,24915331,19156106,81
3,"install vim",236,294,chunk-exploded,297,77106257,81058011,321
4,"grow 1: new 128k file",16,295,chunk-exploded,298,77368523,85288358,341
5,"grow 2: new 256k file",12,295,chunk-exploded,298,77368523,88470129,357
6,"grow 3: new 512k file",14,298,chunk-exploded,301,78155321,92176554,375
7,"grow 4: new 64k file",10,298,chunk-exploded,301,78155321,94834403,389
8,"grow 5: new 128k file",10,298,chunk-exploded,301,78155321,97492252,403
9,"grow 6: new 256k file",12,299,chunk-exploded,302,78417587,100674511,419
10,"grow 7: new 512k file",15,301,chunk-exploded,304,78942120,104643447,438
11,"grow 8: new 64k file",10,301,chunk-exploded,304,78942120,107301663,452
12,"grow 9: new 128k file",11,302,chunk-exploded,305,79204386,110222145,467
13,"grow 10: new 256k file",11,303,chunk-exploded,306,79466652,113142749,482
14,"grow 11: new 512k file",13,306,chunk-exploded,309,80253450,116588007,499
15,"grow 12: new 64k file",10,306,chunk-exploded,309,80253450,119246833,513
16,"grow 13: new 128k file",11,306,chunk-exploded,309,80253450,122167803,528
17,"grow 14: new 256k file",12,307,chunk-exploded,310,80515716,125351039,544
18,"grow 15: new 512k file",12,309,chunk-exploded,312,81040248,128534519,560
19,"grow 16: new 64k file",10,310,chunk-exploded,313,81302514,131193833,574
20,"grow 17: new 128k file",11,310,chunk-exploded,313,81302514,134115291,589
21,"grow 18: new 256k file",12,312,chunk-exploded,315,81827046,137299137,605
22,"grow 19: new 512k file",14,314,chunk-exploded,317,82351578,141007515,623
23,"grow 20: new 64k file",10,314,chunk-exploded,317,82351578,143667317,637
24,"work 21: append to log",7,314,chunk-exploded,317,82351578,145540687,648
25,"work 22: rewrite part of f15",3,314,chunk-exploded,317,82351578,146365481,655
26,"work 23: edit with vim",9,314,chunk-exploded,317,82351578,148763139,668
27,"work 24: delete f9, create g24",12,315,chunk-exploded,318,82613844,151947351,684
28,"work 25: package churn",11,316,chunk-exploded,319,82876110,154607397,698
29,"work 26: append to log",4,316,chunk-exploded,319,82876110,155694579,706
30,"work 27: rewrite part of f10",4,316,chunk-exploded,319,82876110,156781761,714
31,"work 28: edit with vim",6,316,chunk-exploded,319,82876110,158131087,723
32,"work 29: delete f4, create g29",11,316,chunk-exploded,319,82876110,161053277,738
33,"work 30: package churn",11,317,chunk-exploded,320,83138376,162927013,749
34,"work 31: append to log",5,317,chunk-exploded,320,83138376,164276461,758
