sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
1,backup,13,13,0.953,3152748,22,3153037,0.736,2,11,9
2,backup,13,26,0.811,7353837,,,,,,
3,backup,13,39,0.782,9457507,,,,,,
4,backup,13,52,0.782,11036841,,,,,,
5,backup,13,65,0.816,14189250,,,,,,
6,backup,13,78,0.815,16030711,,,,,,
7,backup,13,91,0.816,18658755,,,,,,
8,backup,13,104,0.801,20500256,,,,,,
9,backup,13,117,0.792,23128348,,,,,,
10,backup,13,130,0.824,27854198,41,12075952,0.784,11,21,9
11,backup,13,143,0.742,31799237,,,,,,
12,backup,13,156,0.813,37573959,,,,,,
13,backup,13,169,0.812,40464665,,,,,,
14,backup,13,182,0.82,42568758,,,,,,
15,backup,13,195,0.802,44165536,,,,,,
16,backup,13,208,0.827,48629461,,,,,,
17,backup,13,221,0.836,51421850,,,,,,
18,backup,13,234,0.813,54509420,,,,,,
19,backup,13,247,0.786,56646637,,,,,,
20,backup,13,260,0.798,59176771,,,,,,
21,backup,13,273,0.822,61543093,,,,,,
22,backup,13,286,0.791,63647268,,,,,,
23,backup,13,299,0.809,68635565,,,,,,
24,backup,13,312,0.832,70739894,,,,,,
25,backup,13,325,0.814,74679500,,,,,,
26,backup,13,338,0.822,78881364,,,,,,
27,backup,13,351,0.768,80985627,,,,,,
28,backup,13,364,0.747,83515907,,,,,,
29,backup,13,377,0.848,87094938,,,,,,
30,backup,13,390,0.789,89461510,66,19174198,0.764,31,26,9
31,backup,13,403,0.807,94982220,,,,,,
32,backup,13,416,0.832,98921869,,,,,,
33,backup,13,429,0.837,102075005,,,,,,
34,backup,13,442,0.817,104711458,,,,,,
35,backup,13,455,0.822,107077865,,,,,,
36,backup,13,468,0.833,111541974,,,,,,
37,backup,13,481,0.809,113900865,,,,,,
38,backup,13,494,0.813,117061864,,,,,,
39,backup,13,507,0.807,121788162,,,,,,
40,backup,13,520,0.816,124416967,,,,,,
41,backup,13,533,0.822,127832411,,,,,,
42,backup,13,546,0.852,131772150,,,,,,
43,backup,13,559,0.822,134663246,,,,,,
44,backup,13,572,0.837,136890356,,,,,,
45,backup,13,585,0.856,142001600,,,,,,
46,backup,13,598,0.8,144630705,,,,,,
47,backup,13,611,0.824,148570874,,,,,,
48,backup,13,624,0.787,151462133,,,,,,
49,backup,13,637,0.816,153559082,,,,,,
50,backup,13,650,0.746,155926066,,,,,,
51,backup,13,663,0.741,158292999,,,,,,
52,backup,13,676,0.823,161176594,,,,,,
53,backup,13,689,0.802,163920496,,,,,,
54,backup,13,702,0.826,166549711,,,,,,
55,backup,13,715,0.8,170363043,,,,,,
56,backup,13,728,0.797,172730178,,,,,,
57,backup,13,741,0.778,175359460,,,,,,
58,backup,13,754,0.855,180348346,,,,,,
59,backup,13,767,0.814,183239782,,,,,,
60,backup,13,780,0.844,187966658,103,34671145,0.793,61,33,9
61,backup,13,793,0.809,190457407,,,,,,
62,backup,13,806,0.835,194397758,,,,,,
63,backup,13,819,0.836,195978452,,,,,,
64,backup,13,832,0.85,199296704,,,,,,
65,backup,13,845,0.826,202188243,,,,,,
66,backup,13,858,0.783,205506609,,,,,,
67,backup,13,871,0.824,207996316,,,,,,
68,backup,13,884,0.806,212071924,,,,,,
69,backup,13,897,0.778,215750007,,,,,,
70,backup,13,910,0.817,221263563,,,,,,
71,backup,13,923,0.778,225467103,,,,,,
72,backup,13,936,0.819,228841907,,,,,,
73,backup,13,949,0.838,233568957,,,,,,
74,backup,13,962,0.752,236752300,,,,,,
75,backup,13,975,0.806,242528060,,,,,,
76,backup,13,988,0.763,244370853,,,,,,
77,backup,13,1001,0.814,249097661,,,,,,
78,backup,13,1014,0.829,251989135,,,,,,
79,backup,13,1027,0.775,254618447,,,,,,
80,backup,13,1040,0.786,256985619,,,,,,
81,backup,13,1053,0.828,260798134,,,,,,
82,backup,13,1066,0.826,263427519,,,,,,
83,backup,13,1079,0.79,269203103,,,,,,
84,backup,13,1092,0.763,272094541,,,,,,
85,backup,13,1105,0.832,274723828,,,,,,
86,backup,13,1118,0.832,277090979,,,,,,
87,backup,13,1131,0.85,280244570,,,,,,
88,backup,13,1144,0.818,285495830,,,,,,
89,backup,13,1157,0.847,288559633,,,,,,
90,backup,13,1170,0.826,291135874,143,33335962,0.786,91,43,9
91,backup,13,1183,0.834,293101062,,,,,,
92,backup,13,1196,0.813,295852807,,,,,,
93,backup,13,1209,0.825,297695539,,,,,,
94,backup,13,1222,0.789,300324813,,,,,,
95,backup,13,1235,0.829,303740797,,,,,,
96,backup,13,1248,0.862,306370110,,,,,,
97,backup,13,1261,0.857,310335027,,,,,,
98,backup,13,1274,0.837,312964376,,,,,,
99,backup,13,1287,0.824,315069332,,,,,,
100,backup,13,1300,0.852,317960848,,,,,,
101,backup,13,1313,0.837,320065815,,,,,,
102,backup,13,1326,0.849,322904231,,,,,,
103,backup,13,1339,0.852,325271447,,,,,,
104,backup,13,1352,0.842,327900807,,,,,,
105,backup,13,1365,0.873,332627572,,,,,,
106,backup,13,1378,0.888,336567793,,,,,,
107,backup,13,1391,0.841,339459219,,,,,,
108,backup,13,1404,0.878,342612751,,,,,,
109,backup,13,1417,0.872,348388379,,,,,,
