sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
1,backup,13,13,0.886,3677187,22,3677480,0.816,2,11,9
2,backup,13,26,0.836,7878297,,,,,,
3,backup,13,39,0.784,9982013,,,,,,
4,backup,13,52,0.725,11561399,,,,,,
5,backup,13,65,0.728,14713839,,,,,,
6,backup,13,78,0.767,16555339,,,,,,
7,backup,13,91,0.805,19970105,,,,,,
8,backup,13,104,0.727,21549521,,,,,,
9,backup,13,117,0.73,23915522,,,,,,
10,backup,13,130,0.761,27607311,40,11027373,0.671,11,20,9
11,backup,13,143,0.765,30250424,,,,,,
12,backup,13,156,0.727,34976201,,,,,,
13,backup,13,169,0.717,37866721,,,,,,
14,backup,13,182,0.683,40757304,,,,,,
15,backup,13,195,0.677,42599079,,,,,,
16,backup,13,208,0.753,47062957,,,,,,
17,backup,13,221,0.757,49252251,,,,,,
18,backup,13,234,0.783,53421070,,,,,,
19,backup,13,247,0.767,55669398,,,,,,
20,backup,13,260,0.826,58120877,,,,,,
21,backup,13,273,0.75,60487170,,,,,,
22,backup,13,286,0.794,63115593,,,,,,
23,backup,13,299,0.838,68103852,,,,,,
24,backup,13,312,0.818,70208136,,,,,,
25,backup,13,325,0.835,74147686,,,,,,
26,backup,13,338,0.837,76251824,,,,,,
27,backup,13,351,0.827,78355978,,,,,,
28,backup,13,364,0.82,80807578,,,,,,
29,backup,13,377,0.852,88765246,,,,,,
30,backup,13,390,0.811,92180464,63,19174162,0.792,31,23,9
31,backup,13,403,0.823,95007034,,,,,,
32,backup,13,416,0.843,98946716,,,,,,
33,backup,13,429,0.844,101575367,,,,,,
34,backup,13,442,0.829,104204017,,,,,,
35,backup,13,455,0.845,106832756,,,,,,
36,backup,13,468,0.825,110970460,,,,,,
37,backup,13,481,0.828,113337127,,,,,,
38,backup,13,494,0.899,119112257,,,,,,
39,backup,13,507,0.814,123052049,,,,,,
40,backup,13,520,0.81,125943196,,,,,,
41,backup,13,533,0.879,130669770,,,,,,
42,backup,13,546,0.834,134085155,,,,,,
43,backup,13,559,0.841,138110773,,,,,,
44,backup,13,572,0.847,140391746,,,,,,
45,backup,13,585,0.813,143020767,,,,,,
46,backup,13,598,0.815,146110101,,,,,,
47,backup,13,611,0.81,148915707,,,,,,
48,backup,13,624,0.852,158250785,,,,,,
49,backup,13,637,0.78,160544040,,,,,,
50,backup,13,650,0.802,164269139,,,,,,
51,backup,13,663,0.781,166636131,,,,,,
52,backup,13,676,0.778,170838469,,,,,,
53,backup,13,689,0.805,173729856,,,,,,
54,backup,13,702,0.75,176621248,,,,,,
55,backup,13,715,0.755,179512691,,,,,,
56,backup,13,728,0.808,184101731,,,,,,
57,backup,13,741,0.839,187779776,,,,,,
58,backup,13,754,0.798,193030929,,,,,,
59,backup,13,767,1.055,196446779,,,,,,
60,backup,13,780,0.808,201960142,105,32050624,0.811,61,35,9
61,backup,13,793,0.863,204351421,,,,,,
62,backup,13,806,0.869,208112343,,,,,,
63,backup,13,819,0.854,209692973,,,,,,
64,backup,13,832,0.832,213036831,,,,,,
65,backup,13,845,0.809,215748915,,,,,,
66,backup,13,858,0.881,221714937,,,,,,
67,backup,13,871,0.855,223819963,,,,,,
68,backup,13,884,0.873,226794241,,,,,,
69,backup,13,897,0.882,231521219,,,,,,
70,backup,13,910,0.884,237034727,,,,,,
71,backup,13,923,0.869,243417401,,,,,,
72,backup,13,936,0.847,247682810,,,,,,
73,backup,13,949,0.864,251802639,,,,,,
74,backup,13,962,0.861,254694274,,,,,,
75,backup,13,975,0.856,257502971,,,,,,
76,backup,13,988,0.837,259345761,,,,,,
77,backup,13,1001,0.882,265383673,,,,,,
78,backup,13,1014,0.869,268275151,,,,,,
79,backup,13,1027,0.906,270904447,,,,,,
80,backup,13,1040,0.857,273271592,,,,,,
81,backup,13,1053,0.896,276687296,,,,,,
82,backup,13,1066,0.864,279316648,,,,,,
83,backup,13,1079,0.877,284673493,,,,,,
84,backup,13,1092,0.874,287564920,,,,,,
85,backup,13,1105,0.888,290718484,,,,,,
86,backup,13,1118,0.874,294658758,,,,,,
87,backup,13,1131,0.886,298861225,,,,,,
88,backup,13,1144,0.879,303587931,,,,,,
89,backup,13,1157,0.876,306741506,,,,,,
90,backup,13,1170,0.855,309108546,141,32341783,0.824,91,41,9
91,backup,13,1183,0.812,310951281,,,,,,
92,backup,13,1196,0.889,314104960,,,,,,
93,backup,13,1209,0.839,315947702,,,,,,
94,backup,13,1222,0.841,318576999,,,,,,
