sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
132,backup,13,1716,0.952,489721356,,,,,,
133,backup,13,1729,1.105,492088573,,,,,,
134,backup,13,1742,1.007,494991396,,,,,,
135,backup,13,1755,1.074,500589222,,,,,,
136,backup,13,1768,1.057,502431994,,,,,,
137,backup,13,1781,1.037,506634589,,,,,,
138,backup,13,1794,1.138,510312816,,,,,,
139,backup,13,1807,0.935,512680156,,,,,,
140,backup,13,1820,0.98,514785275,,,,,,
141,backup,13,1833,1.035,518725498,,,,,,
142,backup,13,1846,1.1,523976803,,,,,,
143,backup,13,1859,1.087,526868392,,,,,,
144,backup,13,1872,1.014,530284276,,,,,,
145,backup,13,1885,0.975,532709518,,,,,,
146,backup,13,1898,1.024,536210167,,,,,,
147,backup,13,1911,0.966,538577563,,,,,,
148,backup,13,1924,1.053,540944999,,,,,,
149,backup,13,1937,1.163,544099037,,,,,,
150,backup,13,1950,1.053,546503608,,,,,,
151,backup,13,1963,1.022,550182111,,,,,,
152,backup,13,1976,1.109,555787150,,,,,,
153,backup,13,1989,1.064,558588961,,,,,,
154,backup,13,2002,1.008,562267342,,,,,,
155,backup,13,2015,1.008,564449387,,,,,,
156,backup,13,2028,1.183,568390037,,,,,,
157,backup,13,2041,1.098,572068757,,,,,,
158,backup,13,2054,1.04,575559776,,,,,,
159,backup,13,2067,1.083,579162934,,,,,,
160,backup,13,2080,1.083,583890409,,,,,,
161,backup,13,2093,1.057,589404647,,,,,,
162,backup,13,2106,1.111,595705481,,,,,,
163,backup,13,2119,1.162,601743999,,,,,,
164,backup,13,2132,1.021,604636248,,,,,,
165,backup,13,2145,1.054,607790659,,,,,,
166,backup,13,2158,1.1,612753881,,,,,,
167,backup,13,2171,1.043,616694919,,,,,,
168,backup,13,2184,1.124,621947044,,,,,,
169,backup,13,2197,1.008,625625974,,,,,,
170,backup,13,2210,0.999,627731856,,,,,,
171,backup,13,2223,1.143,633267210,,,,,,
172,backup,13,2236,1.004,635635279,,,,,,
173,backup,13,2249,1.185,644456120,,,,,,
174,backup,13,2262,1.052,647610916,,,,,,
175,backup,13,2275,0.995,650336763,,,,,,
176,backup,13,2288,1.099,655461740,,,,,,
177,backup,13,2301,1.022,658120276,,,,,,
178,backup,13,2314,1.092,664159364,,,,,,
179,backup,13,2327,1.047,668184316,,,,,,
180,backup,13,2340,1.033,671348283,,,,,,
181,backup,13,2353,1.067,676227742,,,,,,
182,backup,13,2366,1.295,683213384,,,,,,
183,backup,13,2379,1.017,686214215,,,,,,
184,backup,13,2392,1.131,688844988,,,,,,
185,backup,13,2405,1.072,692524661,,,,,,
186,backup,13,2418,1.252,699662025,,,,,,
187,backup,13,2431,1.138,705439269,,,,,,
188,backup,13,2444,1.082,709118948,,,,,,
189,backup,13,2457,1.006,712482901,,,,,,
190,backup,13,2470,1.077,715900464,,,,,,
191,backup,13,2483,1.01,719253749,,,,,,
192,backup,13,2496,1.181,725555536,,,,,,
193,backup,13,2509,1.038,729759575,,,,,,
194,backup,13,2522,1.018,732694606,,,,,,
195,backup,13,2535,1.248,737423262,,,,,,
196,backup,13,2548,1.213,743082060,,,,,,
197,backup,13,2561,1.07,746499708,,,,,,
198,backup,13,2574,1.089,749130802,,,,,,
199,backup,13,2587,1.126,751954419,,,,,,
200,backup,13,2600,1.125,755634211,,,,,,
201,backup,13,2613,1.139,759406362,,,,,,
202,backup,13,2626,1.082,764659444,,,,,,
203,backup,13,2639,1.041,766910075,,,,,,
204,backup,13,2652,1.011,769797742,,,,,,
205,backup,13,2665,1.057,772048384,,,,,,
206,backup,13,2678,1.149,775728136,,,,,,
207,backup,13,2691,1.095,780457376,,,,,,
208,backup,13,2704,1.037,782564296,,,,,,
209,backup,13,2717,1.029,785458139,,,,,,
210,backup,13,2730,1.047,788181667,,,,,,
211,backup,13,2743,1.088,791930831,,,,,,
212,backup,13,2756,1.109,796397461,,,,,,
213,backup,13,2769,1.117,801326557,,,,,,
214,backup,13,2782,1.208,808609678,,,,,,
215,backup,13,2795,1.005,811221099,,,,,,
216,backup,13,2808,1.075,813939190,,,,,,
217,backup,13,2821,1.056,816662839,,,,,,
218,backup,13,2834,1.121,822440239,,,,,,
219,backup,13,2847,1.13,827253473,,,,,,
220,backup,13,2860,1.068,831195643,,,,,,
221,backup,13,2873,1.137,836388268,,,,,,
222,backup,13,2886,1.09,839806301,,,,,,
223,backup,13,2899,1.076,842699895,,,,,,
224,backup,13,2912,1.021,845159647,,,,,,
225,backup,13,2925,1.214,848839939,,,,,,
226,backup,13,2938,1.028,851933951,,,,,,
227,backup,13,2951,1.122,856000420,,,,,,
228,backup,13,2964,1.084,860041917,,,,,,
229,backup,13,2977,1.103,864246444,,,,,,
230,backup,13,2990,1.192,868185599,,,,,,
231,backup,13,3003,1.035,870919525,,,,,,
232,backup,13,3016,1.122,877001922,,,,,,
233,backup,13,3029,1.12,879986178,,,,,,
234,backup,13,3042,1.187,886812815,,,,,,
235,backup,13,3055,1.091,890230908,,,,,,
236,backup,13,3068,1.089,893124792,,,,,,
237,backup,13,3081,1.15,897530047,,,,,,
238,backup,13,3094,1.1,901253115,,,,,,
239,backup,13,3107,1.032,903532105,,,,,,
240,backup,13,3120,1.084,906950184,,,,,,
241,backup,13,3133,1.09,910920758,,,,,,
242,backup,13,3146,1.049,914229324,,,,,,
243,backup,13,3159,1.142,920585100,,,,,,
244,backup,13,3172,1.153,925576309,,,,,,
245,backup,13,3185,1.344,934531810,,,,,,
246,backup,13,3198,1.152,939746795,,,,,,
247,backup,13,3211,1.051,943164880,,,,,,
248,backup,13,3224,1.044,946320953,,,,,,
249,backup,13,3237,1.091,948690480,,,,,,
250,backup,13,3250,1.053,950999830,,,,,,
251,backup,13,3263,1.151,957187771,,,,,,
252,backup,13,3276,1.113,960605987,,,,,,
253,backup,13,3289,1.194,966493835,,,,,,
254,backup,13,3302,1.135,971654470,,,,,,
255,backup,13,3315,1.033,973762135,,,,,,
256,backup,13,3328,1.064,978059488,,,,,,
257,backup,13,3341,1.185,982917310,,,,,,
258,backup,13,3354,1.17,988677456,,,,,,
259,backup,13,3367,1.089,992620178,,,,,,
260,backup,13,3380,1.102,997810983,,,,,,
261,backup,13,3393,1.104,1001625402,,,,,,
