sync,shape,restoreRequests,restoreBytes,storageBytes,uploadRequestsCumulative
34,delta-pack,null,null,34079240,136
35,delta-pack,null,null,35127832,140
36,delta-pack,null,null,36176424,144
37,delta-pack,null,null,37225016,148
38,delta-pack,null,null,38273608,152
39,delta-pack,null,null,39322200,156
40,delta-pack,null,null,40370792,160
41,delta-pack,null,null,41419384,164
42,delta-pack,null,null,42467976,168
43,delta-pack,null,null,43516568,172
44,delta-pack,null,null,44565160,176
45,delta-pack,null,null,45613752,180
46,delta-pack,null,null,46400196,184
47,delta-pack,null,null,47448788,188
48,delta-pack,null,null,48497380,192
49,delta-pack,null,null,49545972,196
50,delta-pack,null,null,50594564,200
51,delta-pack,null,null,51381008,204
52,delta-pack,null,null,52429600,208
53,delta-pack,null,null,53478192,212
54,delta-pack,null,null,54526784,216
55,delta-pack,null,null,55575376,220
56,delta-pack,null,null,56623968,224
57,delta-pack,null,null,57672560,228
58,delta-pack,null,null,58721152,232
59,delta-pack,null,null,59769744,236
60,delta-pack,62,60818336,60818336,240
61,delta-pack,null,null,61866928,244
62,delta-pack,null,null,62915520,248
63,delta-pack,null,null,63701964,252
64,delta-pack,null,null,64750556,256
65,delta-pack,null,null,65799148,260
66,delta-pack,null,null,66847740,264
67,delta-pack,null,null,67896332,268
68,delta-pack,null,null,68944924,272
69,delta-pack,null,null,69993516,276
70,delta-pack,null,null,71042108,280
71,delta-pack,null,null,72090700,284
72,delta-pack,null,null,73139292,288
73,delta-pack,null,null,74187884,292
74,delta-pack,null,null,75236476,296
75,delta-pack,null,null,76022920,300
76,delta-pack,null,null,76809364,304
77,delta-pack,null,null,77857956,308
78,delta-pack,null,null,78906548,312
79,delta-pack,null,null,79955140,316
80,delta-pack,null,null,81003732,320
81,delta-pack,null,null,82052324,324
82,delta-pack,null,null,83100916,328
83,delta-pack,null,null,84149508,332
84,delta-pack,null,null,85198100,336
85,delta-pack,null,null,86246692,340
86,delta-pack,null,null,87295284,344
87,delta-pack,null,null,88343876,348
88,delta-pack,null,null,89392468,352
89,delta-pack,null,null,90441060,356
90,delta-pack,92,91227504,91227504,360
91,delta-pack,null,null,92013948,364
92,delta-pack,null,null,93062540,368
93,delta-pack,null,null,94111132,372
94,delta-pack,null,null,95159724,376
95,delta-pack,null,null,96208316,380
96,delta-pack,null,null,97256908,384
97,delta-pack,null,null,98305500,388
98,delta-pack,null,null,99354092,392
99,delta-pack,null,null,100140536,396
100,delta-pack,null,null,101189128,400
101,delta-pack,null,null,101975572,404
102,delta-pack,null,null,103024164,408
103,delta-pack,null,null,104072756,412
104,delta-pack,null,null,105121348,416
105,delta-pack,null,null,105907792,420
106,delta-pack,null,null,106956384,424
107,delta-pack,null,null,108004976,428
108,delta-pack,null,null,109053568,432
109,delta-pack,null,null,110102160,436
110,delta-pack,null,null,111150752,440
111,delta-pack,null,null,112199344,444
112,delta-pack,null,null,113247936,448
113,delta-pack,null,null,114034380,452
114,delta-pack,null,null,114820824,456
